Name,District,Year,Receipt,Expenditure
Umerkot Municipailty,Nabarangpur ,2020,399558757.0,295621828.0
Vysyanagar,Jajpur,2020,870769644.0,634230968.0
Anandapur ,Keonjhar,2025,303539113.3,225337721.0
Anugul ,Angul,2025,397288757.0,330781301.1
Aska,Ganjam,2025,133668755.0,115943142.0
Athagarh N.A.C,Cuttack,2025,157102685.8,114063103.5
Athamallik ,Angul,2025,133032932.3,122562417.4
Attabira ,Baragarh,2025,114411419.0,99099277.76
Balasore ,Balasore,2025,776769445.4,569959568.8
Balimela,Koraput,2025,103721964.0,142836559.0
Balliguda ,Phulbani,2025,162379828.0,150967450.0
Balugaon ,Khurda,2025,165220055.9,104575813.4
Banki N.A.C.,Cuttack,2025,140959239.1,103521365.9
Banpur ,Khurda,2025,111931814.4,60236558.74
Barbil ,Keonjhar,2025,479413298.0,408241705.2
Bargarh ,Baragarh,2025,484102886.0,430950829.6
Baripada ,Mayurbhanj,2025,680981399.0,505734586.0
Barpali ,Baragarh,2025,207269794.4,146541811.9
Basudevpur Muicipality,Bhadrak,2025,277406217.2,256890789.2
Bellaguntha,Ganjam,2025,101760341.0,112354086.0
Belpahar,Jharsuguda ,2025,347257414.0,288746407.0
Bhadrak ,Bhadrak,2025,625334447.0,565006457.3
Bhanjanagar,Ganjam,2025,159004879.0,151587952.0
Bhawanipatna ,Kalahandi,2025,522165175.0,385371247.0
Bhuban,Dhenkanal,2025,231715710.0,160014609.0
Bijepur ,Baragarh,2025,83041898.0,129168764.4
Buguda,Ganjam,2025,118434659.0,83774376.0
CHANDABALI ,Bhadrak,2025,260438093.9,150341968.2
Champua ,Keonjhar,2025,317770904.5,330618392.7
Chatrapur,Ganjam,2025,175862045.0,145900636.0
Chikiti,Ganjam,2025,316340753.0,232776767.0
Choudwar ,Cuttack,2025,366450334.6,296724315.5
Cuttack Municipal Corporation,Cuttack,2025,4988074469.0,4313277351.0
DASAPALLA ,Khurda,2025,133079061.0,122259556.2
DHAMANAGAR ,Bhadrak,2025,244523305.0,104263904.8
Dharamgarh ,Kalahandi,2025,138852130.0,126810779.0
Dhenkanal,Dhenkanal,2025,529781930.0,499402429.0
Digapahandi,Ganjam,2025,112760580.0,123945452.0
G.Udayagiri,Phulbani,2025,83476627.0,74357207.0
Ganjam,Ganjam,2025,118434659.0,83774376.0
Gopalpur,Ganjam,2025,102702022.0,104357751.0
Gunpur ,Rayagada,2025,239997061.0,216818104.0
Hindol,Dhenkanal,2025,360091048.0,343208160.0
Hinjilicut,Ganjam,2025,227308518.0,201495343.0
Jajpur,Jajpur,2025,264825419.0,271286311.0
Jaleswar ,Balasore,2025,210389472.7,146564652.0
Jeypore Municipallity,Koraput,2025,490986935.0,633382405.0
Joda ,Keonjhar,2025,390199701.0,291635921.2
Junagarh ,Kalahandi,2025,165574035.0,142323190.0
Kabisurya Nagar,Ganjam,2025,153222822.0,97862742.0
Kamakshanagar,Dhenkanal,2025,162403463.0,202565290.0
Kantabanjhi N A C,Bolangir,2025,173835899.5,170851237.3
Karanjia ,Mayurbhanj,2025,166672148.0,175605142.0
Kasinagar,Gajapati ,2025,99729887.0,107733484.0
Kendrapara ,Kendrapada ,2025,298534087.0,274856659.0
Keonjhar ,Keonjhar,2025,508575415.6,348225671.1
Kesinga ,Kalahandi,2025,146898764.0,169710505.0
Khalikote,Ganjam,2025,80436027.0,80242456.0
Khandapada ,Khurda,2025,83467557.0,54603202.29
Khariar Nac,Nuapada,2025,147155207.0,119413026.0
Khariar Road,Nuapada,2025,199407901.0,176631412.0
Khurda ,Khurda,2025,262392234.7,251733286.4
Kodala,Ganjam,2025,110108239.0,93642714.0
Kotpad ,Koraput,2025,160122420.0,128798898.0
Kuchinda ,Sambalpur,2025,114931827.0,134551129.0
Malkangiri,Malkangiri,2025,252183778.0,227377163.0
Nayagarh ,Khurda,2025,295200930.3,242038799.2
Nilgiri ,Balasore,2025,160803834.0,119916395.9
Nimapara  ,Puri,2025,157964253.0,144722253.0
Odagaon ,Khurda,2025,136747374.0,125623943.9
Padampur ,Baragarh,2025,193968523.0,166720857.2
Paradeep,Jagatsinghpur ,2025,299174024.0,346843830.0
Paralakhemundi,Gajapati ,2025,342050642.0,289419586.0
Phulbani ,Phulbani,2025,268202822.0,250122071.0
Pipli ,Puri,2025,118864706.0,103511738.0
Polasara,Ganjam,2025,180404027.0,115874794.0
Purusottampur,Ganjam,2025,127809258.0,128966370.0
RANAPUR ,Khurda,2025,115750454.0,99839206.28
Rairakhol ,Sambalpur,2025,108735921.0,133735416.0
Rairangpur ,Mayurbhanj,2025,201724179.0,260377697.0
Rambha,Ganjam,2025,106544246.0,99953741.0
Soro ,Balasore,2025,281350347.9,212240018.9
Sunabeda Municipailty,Koraput,2025,414984518.0,363937163.0
Sundargarh ,Sundergarh,2025,248667505.0,275504664.0
Surada,Ganjam,2025,84523002.0,118101382.0
Talcher ,Angul,2025,314101362.4,267435631.3
Vysyanagar,Jajpur,2025,306943674.0,277791444.0
